PA_name,park,buffer_km,location_outside,eii_mean_outside,eii_stdDev_outside,eii_count_outside,eii_p5_outside,eii_p25_outside,eii_p50_outside,eii_p75_outside,eii_p95_outside,functional_integrity_mean_outside,functional_integrity_stdDev_outside,functional_integrity_count_outside,functional_integrity_p5_outside,functional_integrity_p25_outside,functional_integrity_p50_outside,functional_integrity_p75_outside,functional_integrity_p95_outside,structural_integrity_mean_outside,structural_integrity_stdDev_outside,structural_integrity_count_outside,structural_integrity_p5_outside,structural_integrity_p25_outside,structural_integrity_p50_outside,structural_integrity_p75_outside,structural_integrity_p95_outside,compositional_integrity_mean_outside,compositional_integrity_stdDev_outside,compositional_integrity_count_outside,compositional_integrity_p5_outside,compositional_integrity_p25_outside,compositional_integrity_p50_outside,compositional_integrity_p75_outside,compositional_integrity_p95_outside,buffer_km_outside
JDWNP,Jigme Dorji Wangchuch National Park,10.0,outside,0.6597615498133811,0.14606249726528037,26920,0.43926219864873906,0.5448999178429622,0.6424985246614421,0.7833171146874294,0.9003254974372267,0.6647672563552173,0.14280275674445356,26920,0.4589802216209084,0.5528199481333828,0.6425284396213425,0.7832848065976931,0.9079888831170926,0.9504589767620498,0.0889071279333346,26920,0.7456156586622843,0.9492414269696816,0.9968214694411253,0.9968214694411253,1.0,0.9324818002977528,0.07805005785983907,26815,0.795107549779044,0.9042156816282242,0.9432714823730112,0.9996013589408825,0.9996013589408825,10.0
JKSNR,Jigme Khesar Strick Nature Reserve,10.0,outside,0.7052261741838449,0.13273721947567932,15073,0.5058520513762285,0.5839023450866013,0.7087807887259292,0.8182747022931076,0.9079743842663248,0.7086593420907348,0.13374167774118137,15073,0.5060115260820763,0.5879364467555313,0.7130073151757504,0.8222288803018835,0.915877186801946,0.954788609350592,0.06194112333933464,15073,0.8273340954823424,0.9364178053735506,0.979492010672957,0.9970722494468518,1.0,0.9442593774855951,0.03331814005119949,15071,0.893442046832071,0.9346259800284776,0.950118843850562,0.9638426444652404,0.977574720194202,10.0
JSWNP,Jigme Singye Wangchuck National Park,10.0,outside,0.6119333245786598,0.12482815640980936,28338,0.45516868625786516,0.509623316954114,0.5839477709378101,0.6973003208866447,0.8534449925602153,0.6181354369442646,0.12438400891871847,28338,0.4591147438376152,0.5175841909431373,0.5918665247027343,0.705091819994948,0.8574297158599211,0.9057929158883677,0.09708888061517722,28338,0.7177542060069743,0.8427855963008937,0.9307220832822833,0.9953740165042723,1.0,0.9294215013256455,0.05492019739680937,28337,0.8271246856214223,0.9189954874365837,0.9423903334003803,0.9618755212155761,0.9774812661071712,10.0
JWS,Jomotsangkha Wildlife Sanctuary,10.0,outside,0.6220460051560383,0.11735077946915409,7690,0.44314511189759215,0.5332739055818077,0.6034354959785594,0.7090327532195758,0.8340393746304227,0.6266292810300573,0.1155786191033361,7690,0.4471576393644881,0.5410985449523308,0.607204577925468,0.7126944689280177,0.8341531497033604,0.9276814291049529,0.08692341877693237,7690,0.7598470025749718,0.8888293724103555,0.9551489797285782,0.9938582686631844,0.9990060749404575,0.9358282330458103,0.05294469689832036,7689,0.8504205441512698,0.9248484624271192,0.9462713324980744,0.9677527977114452,0.9794367691236737,10.0
PWS,Phibsoo Wildlife Sanctuary,10.0,outside,0.5317847742260836,0.0853278966945353,8917,0.4346112202323882,0.46185974652350426,0.5088316844179065,0.5850877557930193,0.7001884839040732,0.5403366226110575,0.0912373489124577,8917,0.43556730380700615,0.4667867878599734,0.5176383955824231,0.5956031063027569,0.7169843345295542,0.8797739812197194,0.1141516910083415,8917,0.6709910221652757,0.7940043572623595,0.9131078688259721,0.9815217642724525,1.0,0.9318860888263297,0.061404212660015445,8902,0.8190079728762308,0.9266457461859402,0.9463553034233362,0.9658168540366802,0.9756004230257875,10.0
PNP,Phrumsengla National Park,10.0,outside,0.6731548567691581,0.13775412905391424,25914,0.4746423620727071,0.5488645035238486,0.6699590914008098,0.7871797578782291,0.9003390218528233,0.6780749652356123,0.13845685338114877,25914,0.47849289492789343,0.55654353781587,0.6699826259830348,0.7948725883485555,0.9081326580256802,0.9450572305293681,0.0830339374285636,25914,0.7336106119902579,0.9227488106789508,0.9873556661939754,1.0,1.0,0.9459060548625128,0.05026296425617861,25910,0.8390655537644526,0.9384575141325393,0.9599292804931195,0.9755873690611208,0.9853325662013327,10.0
RBP,Royal Botanical Park,10.0,outside,0.5286527016854433,0.12871566258175185,10000,0.3690864859205304,0.4392922145121407,0.5019354473612482,0.575975700239843,0.7984680235385895,0.549796260801484,0.11654585732748063,10000,0.4316154685077476,0.46292031456749055,0.5174690989817645,0.5836951096294215,0.8106375795144302,0.8190235852491236,0.15578290536564746,10000,0.5566027673582236,0.6854101560371262,0.8532954628707226,0.9629187407556549,0.9984276709009927,0.8396311658536871,0.11776542664964548,9988,0.5798812806657667,0.8065301304440629,0.8769588039367441,0.9239287689597743,0.9551847273258308,10.0
RMNP,Royal Manas National Park,10.0,outside,0.5440752340429705,0.10595162781078046,17746,0.4356412449038394,0.4589688354178281,0.5137179285839631,0.611353957649856,0.7560541288241804,0.5543394958465773,0.10572476530606456,17746,0.4433767311302164,0.46679599490476903,0.5254035801498005,0.6229597761036263,0.7712823664039954,0.8654717428498409,0.11827867110743603,17746,0.6737056041528657,0.8026795754345353,0.8846887937181993,0.9589454881033622,0.998273099433744,0.9341528399460164,0.05248134466909551,17737,0.8732315279232352,0.9239274173888598,0.9394413239788537,0.9629105405066254,0.9825256563494128,10.0
SWS,Sakteng Wildlife Sanctuary,10.0,outside,0.6487470804282535,0.1433589597820851,8216,0.4354945626365556,0.5408555056926478,0.6272202187350818,0.7638689682556833,0.892704117929171,0.65074147498778,0.1426929132639537,8216,0.43943067262235014,0.5448444436411911,0.6310194325142138,0.7674734091747761,0.8963288446839762,0.9694290356407356,0.04487077970997784,8216,0.8667045441537476,0.9604079680926104,0.9908053893241638,1.0,1.0,0.9463514818760919,0.05769879335027607,8216,0.80952478117413,0.9463581725643997,0.9658104099463806,0.9736024072587902,0.9815166852543632,10.0
WCNP,Wangchuck Centennial National Park,10.0,outside,0.6760838738007323,0.13986824397083492,36925,0.4785657896885117,0.5527568477546411,0.6659880647399186,0.795052132326121,0.9081725345827505,0.6779524766209133,0.13908270223309038,36925,0.4823338082876321,0.556634093473611,0.6699011847872467,0.7950125002604554,0.9081941761941956,0.970594663305361,0.0625222825712741,36925,0.8272866644910245,0.9852948237462883,0.9990868863588163,1.0,1.0,0.9553827749077249,0.049619867347258304,36835,0.8720418148850377,0.9345700452356591,0.9657748693640481,0.9931697395748973,0.9995617761253368,10.0
