PA_name,park,Area_km2,hmi_mean,hmi_stdDev,hmi_count,treecover2000_mean,treecover2000_stdDev,treecover2000_count,forest_loss_mean,forest_loss_stdDev,forest_loss_count,ndvi_mean_mean,ndvi_mean_stdDev,ndvi_mean_count,ndvi_trend_mean,ndvi_trend_stdDev,ndvi_trend_count,fire_frequency_mean,fire_frequency_stdDev,fire_frequency_count,cropland_mean,cropland_stdDev,cropland_count,built_up_mean,built_up_stdDev,built_up_count,elevation_mean,elevation_stdDev,elevation_count
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572,0.03959248166829071,0.030703669101967736,55989,18.275264713215865,26.641225426604347,55989,0.0032540612862661297,0.05723250527286123,55989,0.29806926159607877,0.23588072365725082,55989,0.001612896503783177,0.0014335368485001534,55989,0.003565877433722543,0.05921290487915367,55989,0.0,0.0,55989,1.8124713380758005e-05,0.004226148624513986,55989,4313.445069751003,873.5043152939792,55989
JKSNR,Jigme Khesar Strick Nature Reserve,784.224772,0.08509893120328135,0.04571080547320143,10194,41.66901646291142,33.141555053818,10194,0.004310482162258605,0.06916389398722271,10194,0.46956481064244465,0.16900702660479405,10194,0.0018205267374840602,0.001363452841801071,10194,0.009006490216882204,0.09456990799225325,10194,0.0,0.0,10194,0.0,0.0,10194,3636.7281457001086,743.0490357116554,10194
JSWNP,Jigme Singye Wangchuck National Park,1730.0582,0.08108491445788438,0.03954434902967378,22158,70.08967940786415,23.180652801346376,22158,0.004320593219833757,0.06867488332265048,22158,0.6308661248060956,0.13569208071342187,22158,0.0014976629119043156,0.0012201017270417282,22158,0.06075025775239909,0.3907693534592139,22158,0.0008122339486691994,0.02849013471446008,22158,0.0,0.0,22158,2449.8633250176904,879.3587828651569,22158
JWS,Jomotsangkha Wildlife Sanctuary,362.490667,0.1825356680084133,0.06260789869040963,4786,71.12024245829326,22.990552392608816,4786,0.007029070891565717,0.08990197345042757,4786,0.6696290820298835,0.07001792397103593,4786,0.0017082602603223727,0.001482118009616833,4786,0.03577222238117902,0.18820627636329854,4786,0.003245320383265139,0.06121131106928727,4786,0.0,0.0,4786,782.0849895912179,474.5679964994771,4786
PWS,Phibsoo Wildlife Sanctuary,287.178768,0.15666204572498596,0.04420191746165124,3822,67.92781006321088,16.440628780915183,3822,0.00027891989092591554,0.016173269974385757,3822,0.7024086706091314,0.04684932826585634,3822,0.0010415749550240912,0.0010441739141678135,3822,0.055960080547689264,0.2389477896175262,3822,0.0057785638578886755,0.07899369309519073,3822,0.0,0.0,3822,516.1144402843453,280.36692945680215,3822
PNP,Phrumsengla National Park,906.653443,0.11620699098232905,0.026148367307190435,11827,69.99810972677847,21.78663138620007,11827,0.0027114123179130976,0.05274884259268105,11827,0.5831610258227793,0.11025149881621245,11827,0.0009986107343974303,0.0013491646091831281,11827,0.0003513262911930081,0.018387354266676214,11827,0.0,0.0,11827,0.0,0.0,11827,3073.3951318575832,669.8098664324078,11827
RBP,Royal Botanical Park,91.196589,0.21610362325968993,0.034551749095889185,1269,66.49058181197748,15.855383415975872,1269,0.00015696980037536252,0.02806066795077203,1269,0.6231029237529723,0.07057190036123911,1269,0.0004599987978235169,0.0011120011484255436,1269,0.0,0.0,1269,0.0,0.0,1269,0.0008701586759938575,0.02806066795077203,1269,2715.5733697321275,426.2315383895984,1269
RMNP,Royal Manas National Park,1057.021828,0.09631756717087443,0.0496805731364865,13632,81.85425440641937,14.88189482159733,13632,0.0035187868388294155,0.06339042687181078,13632,0.7159177342374601,0.06247689532399881,13632,0.001239364571909322,0.0011956145536230012,13632,0.05834285639694739,0.3985996363373433,13632,0.00023021487116867262,0.01914809408344542,13632,0.0,0.0,13632,1085.4994855765633,596.3087305995581,13632
SWS,Sakteng Wildlife Sanctuary,742.463082,0.13247530460708337,0.01823988053690254,9598,53.103843899100305,29.395111009034753,9598,0.005407175486234882,0.07340601383620642,9598,0.5276898942211375,0.1274147959857808,9598,0.001969135670343896,0.0015224041280313908,9598,0.00021493838643646062,0.014433756416377518,9598,0.0,0.0,9598,0.0,0.0,9598,3452.451268621145,591.82864429825,9598
WCNP,Wangchuck Centennial National Park,4914.634155,0.08086015961801245,0.042223835309544905,62913,24.54670553278322,30.78916298389332,62913,0.0026435422428229076,0.05129914565319819,62913,0.3030219246120872,0.23774972348627832,62913,0.0019257784378515224,0.0014767881436063162,62913,0.0015544590331953345,0.03943704127103228,62913,7.986188323939555e-05,0.00891451143207426,62913,0.0,0.0,62913,4286.94774881249,837.4234362018933,62913
