PA_name,location_inside,eii_mean_inside,eii_stdDev_inside,eii_count_inside,eii_p5_inside,eii_p25_inside,eii_p50_inside,eii_p75_inside,eii_p95_inside,functional_integrity_mean_inside,functional_integrity_stdDev_inside,functional_integrity_count_inside,functional_integrity_p5_inside,functional_integrity_p25_inside,functional_integrity_p50_inside,functional_integrity_p75_inside,functional_integrity_p95_inside,structural_integrity_mean_inside,structural_integrity_stdDev_inside,structural_integrity_count_inside,structural_integrity_p5_inside,structural_integrity_p25_inside,structural_integrity_p50_inside,structural_integrity_p75_inside,structural_integrity_p95_inside,compositional_integrity_mean_inside,compositional_integrity_stdDev_inside,compositional_integrity_count_inside,compositional_integrity_p5_inside,compositional_integrity_p25_inside,compositional_integrity_p50_inside,compositional_integrity_p75_inside,compositional_integrity_p95_inside,park,Area_km2,buffer_km_inside,location_outside,eii_mean_outside,eii_stdDev_outside,eii_count_outside,eii_p5_outside,eii_p25_outside,eii_p50_outside,eii_p75_outside,eii_p95_outside,functional_integrity_mean_outside,functional_integrity_stdDev_outside,functional_integrity_count_outside,functional_integrity_p5_outside,functional_integrity_p25_outside,functional_integrity_p50_outside,functional_integrity_p75_outside,functional_integrity_p95_outside,structural_integrity_mean_outside,structural_integrity_stdDev_outside,structural_integrity_count_outside,structural_integrity_p5_outside,structural_integrity_p25_outside,structural_integrity_p50_outside,structural_integrity_p75_outside,structural_integrity_p95_outside,compositional_integrity_mean_outside,compositional_integrity_stdDev_outside,compositional_integrity_count_outside,compositional_integrity_p5_outside,compositional_integrity_p25_outside,compositional_integrity_p50_outside,compositional_integrity_p75_outside,compositional_integrity_p95_outside,buffer_km_outside,delta_eii,delta_functional_integrity,delta_structural_integrity,delta_compositional_integrity,buffer_km
JDWNP,inside,0.6741848595423631,0.1677039935363386,56020,0.34193518791686406,0.5802343274732086,0.6895288996831346,0.8104950377424979,0.9083107171492134,0.674757229155693,0.1681971646223384,56020,0.34194220534779807,0.5802329626559072,0.6895095743504454,0.8104911848085778,0.9082702001265788,0.9959955889305616,0.01186859115744867,56020,0.9699197454936678,0.9987851612570599,1.0,1.0,1.0,0.963491904260459,0.03206828490481197,55879,0.9092224388513458,0.9501346913200263,0.9678065178869558,0.9853440376737955,0.999715820396235,Jigme Dorji Wangchuch National Park,4374.059572,10.0,outside,0.6597615498133811,0.14606249726528037,26920,0.43926219864873906,0.5448999178429622,0.6424985246614421,0.7833171146874294,0.9003254974372267,0.6647672563552173,0.14280275674445356,26920,0.4589802216209084,0.5528199481333828,0.6425284396213425,0.7832848065976931,0.9079888831170926,0.9504589767620498,0.0889071279333346,26920,0.7456156586622843,0.9492414269696816,0.9968214694411253,0.9968214694411253,1.0,0.9324818002977528,0.07805005785983907,26815,0.795107549779044,0.9042156816282242,0.9432714823730112,0.9996013589408825,0.9996013589408825,10.0,0.014423309728981981,0.009989972800475755,0.04553661216851179,0.031010103962706204,10.0
JKSNR,inside,0.7759688210410277,0.12932430079502463,10203,0.5095748907891966,0.6973413270380763,0.8143935664995692,0.8770267423548422,0.9278494276052308,0.7807045553985547,0.13101014786062248,10203,0.5095614601162435,0.7013702623377063,0.8223402731022068,0.8808777517414259,0.9316821706331911,0.9730291563701946,0.053079527477341,10203,0.8562494757805158,0.9697755564576941,0.9990883265496627,1.0,1.0,0.9531200076497349,0.028005146790314527,10193,0.9072793542398747,0.9403516579685338,0.9600343888958014,0.9717173286283732,0.9853449464137909,Jigme Khesar Strick Nature Reserve,784.224772,10.0,outside,0.7052261741838449,0.13273721947567932,15073,0.5058520513762285,0.5839023450866013,0.7087807887259292,0.8182747022931076,0.9079743842663248,0.7086593420907348,0.13374167774118137,15073,0.5060115260820763,0.5879364467555313,0.7130073151757504,0.8222288803018835,0.915877186801946,0.954788609350592,0.06194112333933464,15073,0.8273340954823424,0.9364178053735506,0.979492010672957,0.9970722494468518,1.0,0.9442593774855951,0.03331814005119949,15071,0.893442046832071,0.9346259800284776,0.950118843850562,0.9638426444652404,0.977574720194202,10.0,0.07074264685718279,0.07204521330781988,0.01824054701960265,0.008860630164139849,10.0
JSWNP,inside,0.6669229471062912,0.13242425506762323,22168,0.4748282825100745,0.55271232059119,0.6660781480321072,0.7714143984903397,0.8887443384158435,0.6687996266605198,0.13243495270223243,22168,0.4784322369898565,0.5565966292017196,0.6660649468037599,0.7754528470035115,0.8886871766640506,0.9672110573496251,0.06702916275738775,22168,0.8056559602320029,0.9800725705353965,0.9992640151184041,1.0,1.0,0.9654789922215546,0.02675843630483821,22168,0.9208699235743392,0.9560276561997427,0.9717280114728035,0.9814929856886281,0.9931823846779333,Jigme Singye Wangchuck National Park,1730.0582,10.0,outside,0.6119333245786598,0.12482815640980936,28338,0.45516868625786516,0.509623316954114,0.5839477709378101,0.6973003208866447,0.8534449925602153,0.6181354369442646,0.12438400891871847,28338,0.4591147438376152,0.5175841909431373,0.5918665247027343,0.705091819994948,0.8574297158599211,0.9057929158883677,0.09708888061517722,28338,0.7177542060069743,0.8427855963008937,0.9307220832822833,0.9953740165042723,1.0,0.9294215013256455,0.05492019739680937,28337,0.8271246856214223,0.9189954874365837,0.9423903334003803,0.9618755212155761,0.9774812661071712,10.0,0.0549896225276314,0.05066418971625519,0.06141814146125735,0.03605749089590915,10.0
JWS,inside,0.6235681409104304,0.10962756497006057,4800,0.4510081314467563,0.5486975526407559,0.6153784674007591,0.7012409468555787,0.8189894920473161,0.6351901616556613,0.09928369081838961,4800,0.46955406847844616,0.565427306095792,0.6277831527125318,0.7022375255962854,0.8194917440414429,0.870358617317614,0.14647829365685328,4800,0.5686935193104551,0.7913256126265172,0.9277683184597306,0.9863741733443605,0.9987263145671623,0.9287669235892645,0.04364426864520278,4800,0.8683388147514529,0.9170625008835711,0.9345823299182412,0.9520555005145066,0.9716212314068371,Jomotsangkha Wildlife Sanctuary,362.490667,10.0,outside,0.6220460051560383,0.11735077946915409,7690,0.44314511189759215,0.5332739055818077,0.6034354959785594,0.7090327532195758,0.8340393746304227,0.6266292810300573,0.1155786191033361,7690,0.4471576393644881,0.5410985449523308,0.607204577925468,0.7126944689280177,0.8341531497033604,0.9276814291049529,0.08692341877693237,7690,0.7598470025749718,0.8888293724103555,0.9551489797285782,0.9938582686631844,0.9990060749404575,0.9358282330458103,0.05294469689832036,7689,0.8504205441512698,0.9248484624271192,0.9462713324980744,0.9677527977114452,0.9794367691236737,10.0,0.0015221357543921954,0.008560880625604006,-0.05732281178733889,-0.007061309456545817,10.0
PWS,inside,0.47545929588848995,0.06047806842803087,3833,0.4267993254894196,0.43840756136693354,0.4521828897418499,0.4793092940964706,0.6123929549666013,0.47630593270198923,0.06193576852332561,3833,0.4267913597719203,0.43842025788730166,0.453973262393155,0.48152371999398413,0.6141820152600607,0.9764329650920797,0.0407315193345835,3833,0.907093081336755,0.969636276658944,0.9873362997255797,0.999305599555659,1.0,0.9546188733122811,0.02440469161414212,3829,0.924779583155017,0.9462732442017092,0.9560354910985379,0.9678569000289605,0.9774943768432677,Phibsoo Wildlife Sanctuary,287.178768,10.0,outside,0.5317847742260836,0.0853278966945353,8917,0.4346112202323882,0.46185974652350426,0.5088316844179065,0.5850877557930193,0.7001884839040732,0.5403366226110575,0.0912373489124577,8917,0.43556730380700615,0.4667867878599734,0.5176383955824231,0.5956031063027569,0.7169843345295542,0.8797739812197194,0.1141516910083415,8917,0.6709910221652757,0.7940043572623595,0.9131078688259721,0.9815217642724525,1.0,0.9318860888263297,0.061404212660015445,8902,0.8190079728762308,0.9266457461859402,0.9463553034233362,0.9658168540366802,0.9756004230257875,10.0,-0.05632547833759366,-0.0640306899090683,0.09665898387236027,0.022732784485951396,10.0
PNP,inside,0.7263136924104788,0.1276439915881124,11846,0.4903065006993794,0.6346732353522486,0.7403784703110544,0.8302094104223833,0.9160019914725553,0.7307623124708953,0.1303757555132117,11846,0.4939800386245434,0.634728853456283,0.7403075026022351,0.8379442470367059,0.9199565268257919,0.9627354809339697,0.06065663157026685,11846,0.8054447019100189,0.9463432931827076,0.9972162608123732,1.0,1.0,0.9603796582524716,0.02034620186827858,11845,0.9287171245519426,0.9462837855115549,0.9637977222080067,0.9774586406579867,0.9832840787257017,Phrumsengla National Park,906.653443,10.0,outside,0.6731548567691581,0.13775412905391424,25914,0.4746423620727071,0.5488645035238486,0.6699590914008098,0.7871797578782291,0.9003390218528233,0.6780749652356123,0.13845685338114877,25914,0.47849289492789343,0.55654353781587,0.6699826259830348,0.7948725883485555,0.9081326580256802,0.9450572305293681,0.0830339374285636,25914,0.7336106119902579,0.9227488106789508,0.9873556661939754,1.0,1.0,0.9459060548625128,0.05026296425617861,25910,0.8390655537644526,0.9384575141325393,0.9599292804931195,0.9755873690611208,0.9853325662013327,10.0,0.053158835641320734,0.05268734723528301,0.01767825040460158,0.014473603389958845,10.0
RBP,inside,0.5113908280122451,0.061987671682530485,1271,0.4420832366712632,0.467656472973093,0.505274051738265,0.5419860802955836,0.6280927658081055,0.5220807469976615,0.06447968158374982,1271,0.44211925709739736,0.4794958180075683,0.5127369678618298,0.5555095165345246,0.6432252526283264,0.8597301040543845,0.09802442251987567,1271,0.7276248154816805,0.7589823454019327,0.8540478729187174,0.9657705377435453,0.9930190147816396,0.8833060500533033,0.047603459156460824,1271,0.8079431469840643,0.8427270806173955,0.8898269753481205,0.924775824511931,0.9423011040818041,Royal Botanical Park,91.196589,10.0,outside,0.5286527016854433,0.12871566258175185,10000,0.3690864859205304,0.4392922145121407,0.5019354473612482,0.575975700239843,0.7984680235385895,0.549796260801484,0.11654585732748063,10000,0.4316154685077476,0.46292031456749055,0.5174690989817645,0.5836951096294215,0.8106375795144302,0.8190235852491236,0.15578290536564746,10000,0.5566027673582236,0.6854101560371262,0.8532954628707226,0.9629187407556549,0.9984276709009927,0.8396311658536871,0.11776542664964548,9988,0.5798812806657667,0.8065301304440629,0.8769588039367441,0.9239287689597743,0.9551847273258308,10.0,-0.017261873673198203,-0.027715513803822533,0.040706518805260994,0.04367488419961618,10.0
RMNP,inside,0.5061344331708327,0.10706368697155268,13647,0.41998002461688966,0.43948063165920165,0.4628413907829974,0.5332741269981824,0.7519425432562062,0.5083667828189274,0.10931842128933719,13647,0.42005828559616354,0.4394347188792528,0.46286259254356626,0.5367852801502165,0.7637680876590256,0.9437832390568448,0.07035630239064133,13647,0.8115879161582994,0.901394662795435,0.9737849062129148,0.9993874614136254,1.0,0.9618758326031801,0.023264704708877683,13638,0.9247533096280034,0.9502170518824609,0.9657658383380636,0.9794159108481048,0.987354315654421,Royal Manas National Park,1057.021828,10.0,outside,0.5440752340429705,0.10595162781078046,17746,0.4356412449038394,0.4589688354178281,0.5137179285839631,0.611353957649856,0.7560541288241804,0.5543394958465773,0.10572476530606456,17746,0.4433767311302164,0.46679599490476903,0.5254035801498005,0.6229597761036263,0.7712823664039954,0.8654717428498409,0.11827867110743603,17746,0.6737056041528657,0.8026795754345353,0.8846887937181993,0.9589454881033622,0.998273099433744,0.9341528399460164,0.05248134466909551,17737,0.8732315279232352,0.9239274173888598,0.9394413239788537,0.9629105405066254,0.9825256563494128,10.0,-0.0379408008721378,-0.045972713027649825,0.07831149620700395,0.027722992657163714,10.0
SWS,inside,0.7194406337264463,0.14674403136077574,9608,0.44731801357538,0.6152242473000994,0.7364977371217147,0.8417433478429822,0.92002287516147,0.7202113310657648,0.1470819174882909,9608,0.4473956072034843,0.6192320025233701,0.7365206436139726,0.8415929901441264,0.9239192344538809,0.9822273356153937,0.02647299337413708,9608,0.9232824916640917,0.9741214577341408,0.9965469219907169,0.9994113399176768,1.0,0.962490574505431,0.02230498099321794,9606,0.9364978478172798,0.9599756286775041,0.9678475571456638,0.9736215302939488,0.9775175700513612,Sakteng Wildlife Sanctuary,742.463082,10.0,outside,0.6487470804282535,0.1433589597820851,8216,0.4354945626365556,0.5408555056926478,0.6272202187350818,0.7638689682556833,0.892704117929171,0.65074147498778,0.1426929132639537,8216,0.43943067262235014,0.5448444436411911,0.6310194325142138,0.7674734091747761,0.8963288446839762,0.9694290356407356,0.04487077970997784,8216,0.8667045441537476,0.9604079680926104,0.9908053893241638,1.0,1.0,0.9463514818760919,0.05769879335027607,8216,0.80952478117413,0.9463581725643997,0.9658104099463806,0.9736024072587902,0.9815166852543632,10.0,0.07069355329819282,0.06946985607798484,0.01279829997465809,0.016139092629339102,10.0
WCNP,inside,0.709793486170242,0.12947837569939244,62947,0.4979826633624166,0.5995900777851677,0.708967991466024,0.8183271104469055,0.9120767713560193,0.7099541436792914,0.12945604158183374,62947,0.4980078450278067,0.5995836867848536,0.7089564903938377,0.818301333536436,0.9120829661266681,0.9945734596592174,0.013409003098134286,62947,0.9727891987764989,0.9970597863634145,0.9970597863634145,1.0,1.0,0.9827045365783067,0.026210249784233124,62654,0.9462443764790814,0.9776037837350179,0.9892846105127708,0.9994202177845606,0.9994202177845606,Wangchuck Centennial National Park,4914.634155,10.0,outside,0.6760838738007323,0.13986824397083492,36925,0.4785657896885117,0.5527568477546411,0.6659880647399186,0.795052132326121,0.9081725345827505,0.6779524766209133,0.13908270223309038,36925,0.4823338082876321,0.556634093473611,0.6699011847872467,0.7950125002604554,0.9081941761941956,0.970594663305361,0.0625222825712741,36925,0.8272866644910245,0.9852948237462883,0.9990868863588163,1.0,1.0,0.9553827749077249,0.049619867347258304,36835,0.8720418148850377,0.9345700452356591,0.9657748693640481,0.9931697395748973,0.9995617761253368,10.0,0.033709612369509645,0.03200166705837815,0.023978796353856358,0.027321761670581757,10.0
